Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
83,60,66,dell.com,25,104.20.83.12,us,2017-09-28,2018-11-21
83,53,61,rt.com,90,207.244.80.182,us,2015-02-05,2018-11-21
83,67,73,hubspot.com,29,104.17.132.180,us,2017-04-24,2018-11-21
83,56,61,bufferapp.com,5,104.16.98.40,us,2017-12-01,2018-10-13
83,57,64,sfgate.com,115,151.101.250.220,us,2016-12-20,2018-11-21
83,66,59,aliyun.com,2,255.255.255.255,,2018-05-26,2018-11-16
83,58,65,worldbank.org,52,104.17.187.11,us,2016-09-08,2018-11-21
83,57,65,chicagotribune.com,72,23.75.179.181,us,2015-02-05,2018-11-21
83,51,56,wikidot.com,385,54.210.145.2,us,2017-05-27,2018-11-21
83,62,70,myshopify.com,21,23.227.38.64,ca,2014-10-02,2018-11-18
83,56,57,web.fc2.com,43,208.71.106.38,us,2016-09-02,2018-11-21
83,57,59,strikingly.com,37,23.215.102.32,us,2017-06-23,2018-11-22
83,50,55,scoop.it,173,185.94.140.20,fr,2015-02-07,2018-11-21
83,55,57,500px.com,5,151.101.32.64,us,2017-04-13,2018-11-20
83,61,69,bizjournals.com,65,107.154.103.27,us,2014-10-05,2018-11-21
83,62,66,fb.me,4,31.13.69.228,us,2018-07-10,2018-11-20
83,49,53,diigo.com,358,54.148.192.94,us,2016-12-20,2018-11-21
83,59,66,economist.com,12,255.255.255.255,,2015-05-12,2018-11-21
83,61,67,ieee.org,335,184.25.56.157,us,2013-06-24,2018-11-21
83,59,67,ed.gov,1,52.45.68.59,us,2018-09-05,2018-11-17
83,62,68,samsung.com,7,104.91.40.227,us,2017-04-14,2018-11-21
83,55,62,unc.edu,121,152.2.64.37,us,2017-05-02,2018-11-22
83,56,61,pastebin.com,2,104.20.209.21,us,2016-08-24,2018-09-22
83,66,64,homestead.com,20,108.167.135.213,us,2018-05-28,2018-11-21
83,58,64,americanexpress.com,118,23.13.171.41,us,2016-09-12,2018-11-21
83,54,61,usc.edu,14,128.125.125.41,us,2017-04-25,2018-11-21
83,57,64,libsyn.com,7450,204.16.244.13,us,2017-04-15,2018-11-22
83,53,60,utah.edu,397,155.97.82.65,us,2017-06-01,2018-11-22
83,52,54,webnode.com,10,178.238.32.246,cz,2018-05-01,2018-11-21
83,61,67,theverge.com,116,151.101.201.52,us,2015-02-03,2018-11-21
83,56,63,target.com,63,151.101.34.187,us,2017-07-19,2018-11-18
83,74,77,livestream.com,2,151.101.202.29,us,2017-10-19,2018-09-23
83,59,64,nicovideo.jp,18,202.248.252.151,jp,2017-11-17,2018-11-20
83,56,62,ign.com,94,104.115.132.28,us,2014-11-16,2018-11-22
83,56,63,ucla.edu,23,64.150.188.34,us,2017-06-12,2018-11-21
83,52,60,instructables.com,179,151.101.201.105,us,2016-04-07,2018-11-21
83,59,67,usnews.com,26,104.70.76.89,us,2014-10-03,2018-11-21
83,55,62,uchicago.edu,37,165.68.14.37,us,2017-07-21,2018-11-21
83,58,64,utexas.edu,3053,128.83.21.174,us,2017-05-26,2018-11-21
83,63,66,google.co.in,1,74.125.141.94,us,2018-10-28,2018-10-28
83,54,52,xrea.com,28782,150.95.8.185,jp,2017-04-18,2018-11-22
83,45,48,soup.io,1012,77.244.254.19,at,2018-05-17,2018-11-22
83,55,61,theconversation.com,49,104.156.81.230,us,2013-08-06,2018-11-21
83,63,68,barnesandnoble.com,1,23.45.86.226,us,2018-04-18,2018-10-14
83,54,61,umd.edu,184,23.23.168.215,us,2015-01-23,2018-11-21
83,57,64,yale.edu,18,96.30.44.172,us,2017-06-25,2018-11-21
83,56,57,geocities.jp,4,118.151.231.178,jp,2017-08-31,2018-11-16
83,60,53,ucoz.net,5,213.174.157.150,us,2018-08-18,2018-11-20
83,52,55,sapo.pt,1929,213.13.65.217,pt,2017-04-25,2018-11-22
83,61,68,wikihow.com,108,151.101.34.110,us,2016-01-19,2018-11-21
83,57,63,ox.ac.uk,15,129.67.244.22,gb,2017-06-17,2018-11-21
83,57,57,blogspot.co.id,2,172.217.8.1,us,2017-03-25,2018-10-18
83,57,63,princeton.edu,69,128.112.18.21,us,2017-05-27,2018-11-21
83,55,57,nifty.com,23,175.184.40.131,jp,2018-01-07,2018-11-21
83,59,67,state.gov,5,52.216.165.178,us,2017-02-10,2018-11-21
83,61,67,slate.com,56,184.51.126.16,au,2013-06-24,2018-11-21
83,57,64,sciencemag.org,3,52.52.196.124,us,2014-10-17,2018-11-19
