Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
84,60,68,abcnews.go.com,143,13.32.254.79,us,2016-08-24,2018-11-21
84,52,53,canalblog.com,226,195.137.184.101,fr,2017-03-31,2018-11-22
84,58,65,columbia.edu,166,52.201.77.34,us,2017-04-25,2018-11-21
84,63,56,so.com,1205,171.8.167.54,cn,2018-05-21,2018-11-22
84,58,65,prweb.com,1061,104.17.228.218,us,2016-04-10,2018-11-21
84,55,62,theglobeandmail.com,192,23.54.19.40,us,2016-12-01,2018-11-22
84,60,66,engadget.com,7059,52.34.59.122,us,2016-04-10,2018-11-22
84,61,69,businesswire.com,4,184.24.167.172,us,2017-03-20,2018-10-19
84,66,68,drupal.org,209,151.101.249.175,us,2016-11-22,2018-11-21
84,63,67,mapquest.com,5,52.70.60.154,us,2017-11-09,2018-11-21
84,58,65,umich.edu,177,141.212.113.146,us,2017-04-23,2018-11-22
84,56,61,slashdot.org,86,216.34.181.48,us,2013-06-24,2018-11-05
84,58,64,abc.net.au,36,255.255.255.255,,2016-12-23,2018-11-21
84,56,61,lemonde.fr,2216,72.21.91.239,us,2017-03-31,2018-11-22
84,60,67,pbs.org,126,54.225.206.152,us,2016-10-24,2018-11-21
84,58,63,thestar.com,77,52.222.173.63,us,2017-01-27,2018-11-21
84,65,69,mysql.com,53,137.254.60.15,us,2017-05-18,2018-11-21
84,58,66,steamcommunity.com,389,23.219.16.70,us,2016-03-12,2018-11-21
84,58,65,shareasale.com,3,104.16.32.52,us,2017-09-21,2018-11-20
84,68,73,mailchimp.com,3,23.218.149.150,us,2017-09-12,2018-09-25
84,60,69,usda.gov,9,104.121.70.224,us,2017-11-12,2018-11-20
84,61,61,jd.com,33,211.151.8.154,cn,2017-12-18,2018-11-19
84,59,63,hatenablog.com,1138,13.230.115.161,jp,2017-04-06,2018-11-22
84,60,66,bitbucket.org,8,18.205.93.0,us,2016-05-26,2018-10-18
84,61,65,about.me,122,34.239.34.13,us,2016-09-04,2018-11-22
84,64,70,mashable.com,3844,23.54.18.129,us,2016-02-06,2018-11-22
84,67,67,elegantthemes.com,10,192.124.249.10,us,2015-02-07,2018-11-21
84,64,69,python.org,69,83.143.134.23,pl,2017-04-17,2018-11-21
84,59,66,washington.edu,308,74.123.154.146,us,2017-04-29,2018-11-21
84,59,66,liveinternet.ru,3,88.212.202.35,ru,2017-04-07,2018-11-15
84,57,57,blogspot.it,2,216.58.217.65,us,2017-08-30,2018-10-21
84,64,68,dribbble.com,94,151.101.34.89,us,2016-04-10,2018-11-21
84,63,70,cnbc.com,242,104.111.214.166,nl,2014-11-18,2018-11-21
84,56,56,goo.ne.jp,1893,153.254.148.148,jp,2018-03-24,2018-11-21
84,60,67,nationalgeographic.com,155,23.209.177.15,us,2016-09-01,2018-11-22
84,57,61,yolasite.com,74,104.16.161.215,us,2017-04-22,2018-11-21
83,63,67,gob.ar,3214,201.234.19.13,ar,2018-05-24,2018-11-22
83,59,65,vice.com,3393,64.71.168.222,us,2013-06-12,2018-11-22
83,60,66,playstation.com,2001,46.19.169.67,nl,2015-01-23,2018-11-22
83,60,66,dell.com,15,104.20.83.12,us,2017-10-29,2018-11-20
83,53,61,rt.com,123,207.244.80.166,us,2015-02-06,2018-11-21
83,67,73,hubspot.com,43,104.17.132.180,us,2017-04-30,2018-11-21
83,56,61,bufferapp.com,21,104.16.138.129,us,2016-01-10,2018-11-20
83,57,64,sfgate.com,255,151.101.32.200,us,2016-12-20,2018-11-22
83,66,59,aliyun.com,1,180.97.161.96,cn,2017-10-01,2018-11-04
83,58,65,worldbank.org,100,104.17.187.11,us,2016-11-29,2018-11-21
83,57,65,chicagotribune.com,442,52.216.22.10,us,2014-11-25,2018-11-21
83,51,56,wikidot.com,1622,54.210.145.2,us,2017-04-03,2018-11-22
83,62,70,myshopify.com,24,23.227.38.64,ca,2014-11-25,2018-11-21
83,56,57,web.fc2.com,51,208.71.106.61,us,2017-07-14,2018-11-21
83,57,59,strikingly.com,66,23.15.7.88,us,2017-08-22,2018-11-21
83,50,55,scoop.it,788,185.94.140.20,fr,2014-10-05,2018-11-21
